Frage;Antwort;Block;Quelle
Was ist eine Ellenbogen(sub)luxation?;Verrenkung des Speichenköpfchens mit Einklemmung des umspannenden Bandes durch abrupten Zug, Kind hält Ellenbogen, vermeidet Drehbewegungen;LF-IV-Verletzt;Kommentar S. 32
Welche Ziele hat eine Ruhigstellung?;Schmerzlinderung und Vermeidung zusätzlicher Verletzungen;LF-IV-Verletzt;Kommentar S. 32
Welche Möglichkeiten der Ruhigstellung gibt es?;Armtragetuch (Dreiecktuch), Ruhigstellung mit Decken, Sam Splint, weiteres vor Ort befindliches Material;LF-IV-Verletzt;Kommentar S. 32
Wie werden Brustkorbverletzungen erkannt?;Unfallhergang (Aufprall, Sturz, Tritte), Schmerzen beim Atmen, ungleichmäßige Ausdehnung bei Rippenserienfraktur, Abhusten von schaumigem Blut;LF-IV-Verletzt;Kommentar S. 32
Wie werden Brustkorbverletzungen versorgt?;Wie bei allen Problemen in der Brust, ansprechbarer Patient: atemunterstützende Lagerung ggf. auf verletzte Seite, bewusstlos: stabile Seitenlage auf verletzte Seite;LF-IV-Verletzt;Kommentar S. 32
Welche Ursachen für Wirbelsäulenverletzungen gibt es?;Sturz aus Höhe, Kopfsprung in seichtes Wasser, direkte Gewalteinwirkung, Schleuderbewegungen (Schleudertrauma);LF-IV-Verletzt;Kommentar S. 32
Welche besonderen Aspekte gelten bei Wirbelsäulenverletzungen?;Bei Stürzen aus über 3 m Höhe immer Notarzt hinzuziehen, unnötige Bewegungen vermeiden, in vorgefundener Lage stabilisieren;LF-IV-Verletzt;Kommentar S. 33
Wie werden bewusstlose Patienten mit Wirbelsäulenverletzung gelagert?;Stabile Seitenlage unter Erhalt der Kopf-Wirbelsäule in Neutralposition, Mund als tiefster Punkt des Kopfes, nicht unterpolstern;LF-IV-Verletzt;Kommentar S. 33
Welche Ursachen für ein SHT gibt es?;Stürze, Schlag auf den Kopf, Verkehrsunfall;LF-IV-Verletzt;Kommentar S. 33
Was sind primäre Hirnschädigungen?;Sofort wahrnehmbare Schäden nach Gewalteinwirkung (Gehirnerschütterung, -prellung, -quetschung);LF-IV-Verletzt;Kommentar S. 33
Was sind sekundäre Hirnschädigungen?;Schäden, die sich erst langsam entwickeln (Hirnödem, Blutung im Hirnschädel, Infektionen);LF-IV-Verletzt;Kommentar S. 33
Wie wird ein SHT-Patient mit RR > 130 mmHg gelagert?;Oberkörper ca. 30° hoch, Kopf-Wirbelsäule in Neutralposition, keine Unterpolsterung des Kopfes;LF-IV-Verletzt;Kommentar S. 33
Wie wird ein SHT-Patient mit RR < 130 mmHg gelagert?;Flachlagerung, Kopf-Wirbelsäule in Neutralposition, keine Unterpolsterung des Kopfes;LF-IV-Verletzt;Kommentar S. 33
Wie erfolgt die Helmabnahme (2 Helfer)?;Helfer 1 fixiert Kopf/HWS in Neutralposition, Helfer 2 zieht Helm vorsichtig ab, HWS-Immobilisation beibehalten;LF-IV-Verletzt;Kommentar S. 36
Welche obere Atemwege gibt es?;Nasenraum, Mundraum, Rachenraum;LF-II-Atmung;Kommentar S. 12
Welche unteren Atemwege gibt es?;Kehlkopf mit Kehldeckel, Luftröhre, Bronchien, Lungengewebe mit Lungenbläschen;LF-II-Atmung;Kommentar S. 12
Welche Funktion hat der Kehldeckel?;Schutz vor Anatmung von Fremdkörpern und Mageninhalt (Aspiration), Stimmbildung;LF-II-Atmung;Kommentar S. 13
Was sind die Lungenbläschen?;Ort des äußeren Gasaustausches: Sauerstoff wandert durch die Wand ins Blut, Kohlendioxid in umgekehrter Richtung;LF-II-Atmung;Kommentar S. 13
Welche Atemmuskulatur ist beteiligt?;Zwerchfell (Ein-/Ausatmung), Atemhilfsmuskulatur (Schultergürtel/Halsmuskulatur zur Einatmung, Bauchdeckenmuskulatur zur Ausatmung);LF-II-Atmung;Kommentar S. 13
Welche physiologischen Atemwerte (Erwachsener) sind normal?;Atemfrequenz 12/min;LF-II-Atmung;Anhang S. 47
Welche Werte hat ein Schulkind?;Atemfrequenz 20/min, Puls 85–100/min, Blutdruck 95/60 bis 120/75 mmHg;LF-II-Atmung;Anhang S. 47
Welche Werte hat ein Kleinkind?;Atemfrequenz 25/min, Puls 95–120/min, Blutdruck 90/60 bis 105/70 mmHg;LF-II-Atmung;Anhang S. 47
Was ist die Nagelbettprobe?;Nach Nachlassen des Drucks auf das Nagelbett kehrt die rosige Farbe bei normaler Durchblutung innerhalb von 2 Sekunden zurück;LF-III-Herz-Kreislauf;Kommentar S. 19
Welche Hautzeichen weisen auf Schock oder Zentralisation hin?;Weiße, kalte Haut (Zentralisation, niedriger Blutdruck, Unterkühlung), Zyanose an Lippen/Nagelbett (Sauerstoffmangel);LF-III-Herz-Kreislauf;Kommentar S. 19
Wo kann der Puls ertastet werden?;Daumenseite des Handgelenks (Speichenschlagader), seitlich des Kehlkopfes (Halsschlagader), Leistenbeuge (Beckenschlagader), Innenseite Oberarm;LF-III-Herz-Kreislauf;Kommentar S. 19
Welche Fehler sind bei der Pulsmessung zu vermeiden?;Nicht mit eigenem Daumen tasten (Eigenpuls), nicht an beiden Halsschlagadern gleichzeitig tasten;LF-III-Herz-Kreislauf;Kommentar S. 19
Wie wird die Pulsfrequenz berechnet (bei 15 Sek Zählen)?;Anzahl der Schläge × 4 = Schläge pro Minute;LF-III-Herz-Kreislauf;Kommentar S. 19
Wie wird der Blutdruck gemessen (auskultatorisch)?;Manschette aufpumpen bis kein Puls mehr fühlbar, Stethoskop in Ellenbeuge, Luft ablassen, erster Ton = systolisch, letzter Ton = diastolisch;LF-III-Herz-Kreislauf;Kommentar S. 20
Wie wird der Blutdruck palpatorisch gemessen?;Ohne Stethoskop: Puls an Speichenschlagader fühlen, Manschette ablassen, erster fühlbarer Pulsschlag = systolisch (diastolisch nicht ermittelbar);LF-III-Herz-Kreislauf;Kommentar S. 20
Welcher Blutdruckwert ist für die Notfallversorgung entscheidend?;Der systolische Wert (Druck während der Austreibungsphase);LF-III-Herz-Kreislauf;Kommentar S. 19
Wie viel Blut hat ein Erwachsener?;Ca. 80 ml pro Kilogramm Körpergewicht (ca. 5–6 Liter);LF-III-Herz-Kreislauf;Kommentar S. 18
Welche Aufgaben haben die Blutzellen?;Rote Blutkörperchen: Sauerstofftransport, weiße: Immunabwehr, Blutplättchen: Blutgerinnung;LF-III-Herz-Kreislauf;Kommentar S. 18
Welche Aufgaben hat das Blut?;Transport von Sauerstoff, Nährstoffen, Hormonen, Mineralien zu den Zellen, Abtransport von Schlackenstoffen;LF-III-Herz-Kreislauf;Kommentar S. 18
Wie ist das Herz aufgebaut?;Herzscheidewand teilt in linke/rechte Herzhälfte, jede Hälfte in Vorhof und Kammer, Herzklappen für gerichteten Blutfluss, Herzkranzgefäße versorgen Herzmuskel;LF-III-Herz-Kreislauf;Kommentar S. 18
Welche Blutgefäßtypen gibt es?;Arterien (vom Herzen weg), Venen (zum Herzen hin), Kapillaren (Stoffaustausch zwischen Arterien und Venen);LF-III-Herz-Kreislauf;Kommentar S. 19
Was ist Systole?;Anspannungs- und Austreibungsphase: Kammermuskulatur spannt sich an, Blut wird aus den Kammern getrieben;LF-III-Herz-Kreislauf;Kommentar S. 18
Was ist Diastole?;Entspannungs- und Füllungsphase: Kammermuskel erschlafft, Blut strömt in die Kammer;LF-III-Herz-Kreislauf;Kommentar S. 18
Wie ist das normale Verhältnis bei HLW (Erwachsene)?;30 Brustkorb-Kompressionen zu 2 Beatmungen (30:2);LF-III-Herz-Kreislauf;Kommentar S. 22 + S. 49
Wie tief sind die Kompressionen bei HLW (Erwachsene)?;5–6 cm;LF-III-Herz-Kreislauf;Anhang (Standard)
Wie schnell sind die Kompressionen bei HLW?;100–120 pro Minute;LF-III-Herz-Kreislauf;Kommentar S. 49
Was bedeutet Full Recoil bei HLW?;Brustkorb zwischen Kompressionen vollständig entlasten, nicht drauf bleiben;LF-III-Herz-Kreislauf;Standard
Was ist Compression Fraction?;Anteil der Zeit mit aktiven Kompressionen an der gesamten Reanimationsdauer. Ziel: > 80 %;LF-III-Herz-Kreislauf;Standard
Wann wird mit HLW begonnen?;Bei fehlender normaler Atmung UND fehlendem Puls (Kreislaufstillstand);LF-III-Herz-Kreislauf;Kommentar S. 49
Wie wird ein AED angewendet?;Gerät einschalten, Pads aufkleben (rechts oben, links unten), Sprachanweisungen folgen, Schock wenn empfohlen;LF-III-Herz-Kreislauf;Kommentar S. 22
Was ist Kammerflimmern?;Unkoordinierte elektrische Erregung des Herzmuskels, die zum Flimmern des Herzmuskels führt, defibrillierbar;LF-III-Herz-Kreislauf;Kommentar S. 23
Was ist Asystolie?;Keinerlei elektrische Erregung des Herzmuskels mehr, nicht defibrillierbar;LF-III-Herz-Kreislauf;Kommentar S. 23
Wann werden Kinderelektroden am AED verwendet?;Wenn vorhanden, ansonsten Standard-Elektroden, besondere Herstellerhinweise beachten;LF-III-Herz-Kreislauf;Kommentar S. 23
Was ist bei der Defibrillation zu beachten?;Eigen- und Fremdschutz: Während der Defibrillation darf der Patient nicht berührt werden;LF-III-Herz-Kreislauf;Kommentar S. 23
Was ist HPCPR / Pit Crew CPR?;High-Performance CPR mit festen Rollen pro Helfer, minimalen Pausen, alle 2 Min Kompressor-Wechsel;LF-III-Herz-Kreislauf;Standard
Was ist ein Larynx-Tubus?;Hilfsmittel zur Beatmung, das bei Reanimationen eingesetzt wird, wird in die Speiseröhre eingeführt;LF-III-Herz-Kreislauf;Kommentar S. 22
Wie viele Versuche sind bei der Larynx-Tubus-Einführung erlaubt?;Maximal 2 Versuche, danach Beutel-Masken-Beatmung oder Mund-zu-Mund-Beatmung;LF-III-Herz-Kreislauf;Kommentar S. 23
Wie wird der Larynx-Tubus eingeführt?;Mund mit Kreuzgriff öffnen, Tubus am harten Gaumen entlang vorschieben bis federnder Widerstand, Markierungslinie in Höhe der Schneidezähne;LF-III-Herz-Kreislauf;Kommentar S. 22
Welche Maßnahmen gibt es bei Herz-Kreislauf-Störungen?;Wie bei allen Problemen in der Brust, Atemerleichterung, passende Lagerung, psychische Betreuung, ggf. Sauerstoff, Ursache ausschalten;LF-III-Herz-Kreislauf;Kommentar S. 20
Was ist ein Schock?;Missverhältnis zwischen benötigter und tatsächlich zur Verfügung stehender Flüssigkeitsmenge;LF-III-Herz-Kreislauf;Kommentar S. 20
Welche Schockformen gibt es?;Absoluter Volumenmangel (Blut-/Plasma-/Salz-/Wasserverlust), relativer Volumenmangel (Allergie, Schmerz, Angst), verminderte Herzleistung (Herzinfarkt);LF-III-Herz-Kreislauf;Kommentar S. 20
Was passiert in der Schockspirale?;Blut-/Flüssigkeitsverlust → erhöhte Herzfrequenz → periphere Gefäßverengung (Zentralisation) → Sauerstoffmangel im Gewebe → Blutdruckabfall → Multiorganversagen;LF-III-Herz-Kreislauf;Kommentar S. 20
Welche Erkennungszeichen hat ein Schock?;Sichtbare Ursache (Blutung/Verletzung), blasse/kühle/feuchte Haut, Zittern, Unruhe, Bewusstseinsstörung, erhöhte Atemfrequenz, erhöhter Puls;LF-III-Herz-Kreislauf;Kommentar S. 21
Welche Maßnahmen gibt es beim Schock?;Ursache beseitigen (Blutstillung), PAKET, Lagerung je nach Ursache, Schockbekämpfung;LF-III-Herz-Kreislauf;Kommentar S. 21
Was ist das akute Koronarsyndrom?;Sammelbegriff für schwere Erkrankungen mit Schmerzen in der Brust, die lebensbedrohlich sein können (z.B. Herzinfarkt, Angina Pectoris);LF-III-Herz-Kreislauf;Kommentar S. 21
Welche Risikofaktoren für koronare Herzerkrankungen gibt es?;Diabetes, Rauchen (bes. mit Pille), erhöhte Blutfette, Bluthochdruck, Übergewicht, Bewegungsmangel, familiäre Vorbelastung;LF-III-Herz-Kreislauf;Kommentar S. 21
Wie erkennt man einen Herzinfarkt?;Plötzlicher Schmerz hinter dem Brustbein, Ausstrahlung in Schulter/Arm/Rücken/Kiefer/Bauch, Engegefühl, Angst, Atemnot, Übelkeit;LF-III-Herz-Kreislauf;Kommentar S. 21
Welche Gefahren hat ein Herzinfarkt?;Herz-Kreislauf-Stillstand, Herzrhythmusstörungen, herzbedingter Schock;LF-III-Herz-Kreislauf;Kommentar S. 21
Wie wird ein Herzinfarkt versorgt?;Immer als Notfall mit frühzeitigem Notruf, Wie bei allen Problemen in der Brust, Ruhe, ansprechbarer Patient: erhöhter Oberkörper;LF-III-Herz-Kreislauf;Kommentar S. 21
Was ist ein ACS und wie wird er versorgt?;Akutes Koronarsyndrom: Oberkörper hochlagern, Ruhe, Notruf 112 (Notarzt!), Sauerstoff, keine Anstrengung, PAKET;LF-III-Herz-Kreislauf;Kommentar S. 21
Welche Atemfrequenz ist normal bei Erwachsenen?;12 pro Minute;LF-II-Atmung;Anhang S. 47
Welche Pulsfrequenz ist normal bei Erwachsenen?;60–80 pro Minute;LF-III-Herz-Kreislauf;Anhang S. 47
Welcher Blutdruck ist normal bei Erwachsenen?;120/70 bis 140/90 mmHg;LF-III-Herz-Kreislauf;Anhang S. 47
Welcher Blutzucker ist normal bei Erwachsenen?;70–100 mg/dl (± 20);LF-V-Bewusstsein;Anhang S. 47
Wann spricht man von Tachykardie?;Puls > 100 pro Minute;LF-III-Herz-Kreislauf;Anhang S. 47
Wann spricht man von Bradykardie?;Puls < 60 pro Minute;LF-III-Herz-Kreislauf;Anhang S. 47
Wann spricht man von Hypertonie?;Systolisch > 140 oder diastolisch > 90 mmHg;LF-III-Herz-Kreislauf;Anhang S. 47
Wann spricht man von Hypotonie?;Systolisch < 100 oder diastolisch < 60 mmHg;LF-III-Herz-Kreislauf;Anhang S. 47
Welche Sauerstoff-Flow ist bei Notfallpatienten Standard?;10–15 l/min über Maske mit Reservoir;LF-II-Atmung;Kommentar S. 14
Welche Sicherheitshinweise gelten für Sauerstoffflaschen?;Niemals Flaschenventile/Gewinde mit Öl/Fett/Pflaster (Explosionsgefahr), nur in vorgesehenen Befestigungen lagern, Restdruck ca. 30 bar;LF-II-Atmung;Kommentar S. 14
Wie wird der O2-Flascheninhalt berechnet?;Aktueller Druck (bar) × Flaschenvolumen (Liter) = Liter O2;LF-II-Atmung;Kommentar S. 14
Welche Reihenfolge gilt bei der Sauerstoffanwendung?;Flaschenventil öffnen, O2-Maske/-Brille anlegen, Flowmeter einstellen, nach Beendigung Ventil schließen, dann Flowmeter zudrehen;LF-II-Atmung;Kommentar S. 14
Welche Maßnahmen gelten bei allen Problemen in der Brust?;Lagerung: Sitzend mit Aktivierung der Atemhilfsmuskulatur, beengende Kleidung öffnen, Frischluft, Atemanweisungen, PAKET, Sauerstoffgabe;LF-II-Atmung;Kommentar S. 13
Wann wird ein Absaugkatheter verwendet?;Zum Freimachen der Atemwege bei Reanimation, maximale Einführtiefe = Abstand Mundwinkel bis Ohrläppchen;LF-III-Herz-Kreislauf;Kommentar S. 22
Wann wird ein Absauggerät betriebsbereit in der Nähe positioniert?;Bei Reanimation (zur Aspirations-Vermeidung);LF-III-Herz-Kreislauf;Kommentar S. 22
Wie erkennt man Atemstörungen?;Erhöhter Oberkörper/abgestützte Arme, Atemnot, unnatürliche Atemgeräusche, Blaufärbung (Zyanose), Angst/Unruhe;LF-II-Atmung;Kommentar S. 13
Welche Hinweise aus der Anamnese deuten auf Atemstörungen?;Bekannte Erkrankungen (z.B. Asthma), psychische Erregungszustände, Bewusstseinsstörungen, Atemqualität, Verletzungen am Brustkorb, Insektenstiche;LF-II-Atmung;Kommentar S. 13
Wann wird ein Asthma-Anfall vermutet?;Pfeifende Atmung, Atemnot, Husten, Engegefühl, Angst;LF-II-Atmung;Kommentar S. 12 (Verweis)
Wie wird ein Asthma-Anfall versorgt?;Sitzende Lagerung mit Atemhilfsmuskulatur, beengende Kleidung öffnen, Frischluft, Atemanweisungen, PAKET, ggf. Sauerstoff;LF-II-Atmung;Kommentar S. 13
Was ist eine Hyperventilation?;Übermäßige, beschleunigte Atmung, oft psychisch bedingt (Angst, Aufregung);LF-II-Atmung;Kommentar S. 16 (Verweis)
